agent_id,f_local,m_local,lam_sec
0,1371853570.9207618,4861.043294201357,0.03304014649367813
1,1995347027.6543512,3923.03675658733,0.033384225847632176
2,1655635751.485525,6012.460842833122,0.020566546383714614
3,823463648.4364719,4158.294853945264,0.04557499515382449
4,2233025668.600581,3342.7302669832693,0.026161860439926
5,2158987734.8541384,7896.337123948317,0.03228903111635117
6,1307389019.2335632,5999.997348191928,0.04453861812181521
7,1068622112.7373116,3969.897273263347,0.03057373591393911
8,961032248.4840825,6921.44589401599,0.027762515420801027
9,2099394649.7816076,7535.617034911255,0.03717376488548995
10,1226372088.3246632,5528.89657825365,0.023127940260363973
11,1897582388.6854675,6607.765466067205,0.04408257422631855
12,1442670913.3957953,6875.430717777148,0.01845248454781063
13,1501169173.1183722,4054.6848483405297,0.04259307401748091
14,2084436834.2024875,6591.230326576854,0.022979533297863022
15,1996108210.3097653,6702.352188655329,0.04242904900173986
16,1248808279.950714,4747.706001581377,0.04802886662109113
17,1284414107.1250706,4379.242061402891,0.015228697038305521
