agent_id,f_local,m_local,lam_sec
0,817661691.389269,7577.912493645762,0.7859699814589058
1,2034084640.380472,5983.670444176309,0.7694138736934049
2,1874689938.360172,6354.48253822235,0.20772055207128431
3,1415517653.6298275,4201.467196182254,0.2944546907771299
4,2331581810.330758,4498.805926186809,0.32451683895910205
5,1260530112.1661372,4928.447791211784,0.5375845128115135
6,2328594231.4407597,5262.58679516664,0.36683673004251915
7,1059602211.7354028,7341.617290334042,0.5441560278120383
8,2141026138.522812,5355.073691410476,0.609648728725773
9,2350261050.763579,5285.902461581625,0.5756145127737112
10,2175168392.679682,4184.011009610621,0.5740381516757415
11,2174734774.9531813,6875.806609705511,0.24852925652824598
12,1309722505.7541537,7926.048235339369,0.5924468756016508
13,1193899032.118616,5134.702045591521,0.2581644297671443
14,813581980.7954766,6162.134679518265,0.23867302806321553
15,2381167183.3066483,6391.615073297187,0.3674864247765434
16,1721069797.0943027,3915.79955240289,0.607285630941922
17,1800455793.2829928,6149.578143910406,0.39652065531470004
