episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b,rho,c,L_req,mem_req,modality,has_deadline,deadline_time,is_divisible,split_ratio,action_space_hint
0,0,0,0,0,8786016.429062264,36.059876966723124,316822671.4595933,7.7814586111467365,924011757.5812204,sensor,0,0.0,0,0.0,discrete
0,1,1,0,0,2834299.1014360613,39.55204068259713,112102313.36664759,3.20620314327625,775758910.655726,text,1,0.6809476916086307,0,0.0,discrete
0,2,1,0,0,5784942.449127137,29.59483008365735,171204388.8256542,1.42258384989492,1244414985.5927489,image,0,0.0,0,0.0,discrete
0,3,1,0,0,2681209.6714638197,66.5799101318737,178514698.97077173,6.982386226503961,1241533689.144881,text,0,0.0,0,0.0,discrete
0,4,2,0,0,5334447.820625228,15.3858731530014,82075137.50944452,2.3340622058775633,1852168448.3890224,video,0,0.0,0,0.0,discrete
0,5,8,0,0,6442926.025508237,26.290867317203663,169390113.2711954,5.743566331535866,552918508.245088,video,0,0.0,0,0.0,discrete
0,6,14,0,0,2752906.207061134,28.577712349943287,78671761.7117665,1.8753266335567988,617925564.8623033,image,0,0.0,0,0.0,discrete
0,7,15,0,0,1823927.1601180509,52.36400127550784,95508124.13885501,2.8748160795005946,1670207713.1173868,text,0,0.0,1,0.3573535413388298,continuous
0,8,0,1,1,1201119.5060155576,22.793418782549534,27377619.90850163,4.932476232603143,1023073389.2361873,sensor,0,0.0,0,0.0,discrete
0,9,0,1,1,5225318.396086707,38.26461330940284,199944787.8447669,4.899221454063341,1718078781.7260003,image,0,0.0,0,0.0,discrete
0,10,1,1,1,5643789.642515229,27.702777452454942,156348648.45506963,4.6914760335554995,2069288320.186337,text,0,0.0,1,0.21959683821292594,continuous
0,11,1,1,1,2979468.5295151128,53.864217502433895,160486740.91545892,4.545144077379151,813537955.754629,sensor,0,0.0,0,0.0,discrete
0,12,3,1,1,3682965.2399757807,51.938885755554004,191289110.84077862,7.030630149551959,1213364180.345032,video,1,1.9883941902640294,0,0.0,discrete
0,13,4,1,1,1243615.7554079902,65.50031167466992,81457219.58275342,2.404015166695826,1729030196.2390099,sensor,0,0.0,0,0.0,discrete
0,14,10,1,1,4721560.349461606,27.85725155362932,131529694.38059393,5.843627802474962,775195882.8816153,text,0,0.0,0,0.0,discrete
0,15,12,1,1,4001320.547733104,41.64540145893783,166636600.57624212,1.40415221457264,967612464.8169369,sensor,0,0.0,0,0.0,discrete
0,16,13,1,1,3693334.2200746383,23.587643239878513,87117049.94875552,2.534963394169749,1229300727.0277925,image,1,2.3802347327051905,0,0.0,discrete
0,17,16,1,1,3135679.6021735757,68.74026438321562,215547444.87446797,3.8853023684298997,1464869650.723158,image,0,0.0,0,0.0,discrete
0,18,17,1,1,2642639.098266828,43.19998654631773,114161973.49190019,6.315858974638678,1329035780.8768678,text,0,0.0,0,0.0,discrete
0,19,17,1,1,1982769.7483627927,42.93980908097288,85139754.44622695,1.8062689758989334,1593642661.043368,text,0,0.0,0,0.0,discrete
0,20,17,1,1,8973321.376902964,82.72486986126066,742316843.127566,1.943364658943425,1419203785.6680686,video,0,0.0,0,0.0,discrete
0,21,17,1,1,3861278.6664768825,61.542930935927075,237634406.29535538,7.976872522360024,1690923043.9798615,text,0,0.0,1,0.649109217725521,continuous
0,22,7,2,2,2479507.032589438,36.413875613345645,90288460.66712756,6.478761181738171,676701438.5694982,image,1,2.372442945696272,0,0.0,discrete
0,23,10,2,2,1618285.4403380558,20.211981406679666,32708755.2308132,5.22267241930119,1149949652.189731,video,0,0.0,1,0.6583585578684629,continuous
0,24,10,2,2,2359593.958682472,28.846194626202642,68065306.57096654,2.3268132005737945,1232819559.1356463,text,0,0.0,0,0.0,discrete
0,25,11,2,2,10930488.17405934,21.696698841794575,237155510.1063626,2.862940468352002,1247654226.71205,text,0,0.0,0,0.0,discrete
0,26,11,2,2,3616922.4698817357,39.600801562328314,143233028.99611303,1.383492781520451,2735251782.7695637,image,0,0.0,0,0.0,discrete
0,27,12,2,2,3744342.548492042,20.689392289622635,77468171.85247722,7.22156670079927,841715762.0350813,sensor,0,0.0,0,0.0,discrete
0,28,14,2,2,3564051.853110052,13.553529923862868,48305483.441326,5.865366091631048,1738002953.4664342,image,0,0.0,0,0.0,discrete
