episode_id,t_slot,t_time,agent_id,task_id
0,0,0,0,0
0,0,0,1,1
0,0,0,1,2
0,0,0,1,3
0,0,0,2,4
0,0,0,8,5
0,0,0,14,6
0,0,0,15,7
0,1,1,0,8
0,1,1,0,9
0,1,1,1,10
0,1,1,1,11
0,1,1,3,12
0,1,1,4,13
0,1,1,10,14
0,1,1,12,15
0,1,1,13,16
0,1,1,16,17
0,1,1,17,18
0,1,1,17,19
0,1,1,17,20
0,1,1,17,21
0,2,2,7,22
0,2,2,10,23
0,2,2,10,24
0,2,2,11,25
0,2,2,11,26
0,2,2,12,27
0,2,2,14,28
0,2,2,14,29
0,2,2,15,30
0,2,2,16,31
0,3,3,1,32
0,3,3,3,33
0,3,3,10,34
0,3,3,10,35
0,3,3,12,36
0,3,3,17,37
0,4,4,1,38
0,4,4,7,39
0,4,4,7,40
0,4,4,17,41
0,5,5,0,42
0,5,5,1,43
0,5,5,3,44
0,5,5,7,45
0,5,5,7,46
0,5,5,9,47
0,5,5,10,48
0,5,5,12,49
0,5,5,16,50
0,6,6,1,51
0,6,6,1,52
0,6,6,1,53
0,6,6,2,54
0,6,6,10,55
0,6,6,13,56
0,6,6,14,57
0,6,6,14,58
0,6,6,15,59
0,7,7,0,60
0,7,7,2,61
0,7,7,7,62
0,7,7,9,63
0,7,7,10,64
0,7,7,12,65
0,7,7,12,66
0,7,7,16,67
0,7,7,16,68
0,7,7,17,69
0,8,8,0,70
0,8,8,4,71
0,8,8,9,72
0,8,8,10,73
0,8,8,11,74
0,8,8,14,75
0,9,9,1,76
0,9,9,2,77
0,9,9,12,78
0,9,9,14,79
0,9,9,14,80
0,9,9,15,81
0,10,10,0,82
0,10,10,0,83
0,10,10,1,84
0,10,10,7,85
0,10,10,12,86
0,10,10,12,87
0,10,10,17,88
0,11,11,0,89
0,11,11,1,90
0,11,11,6,91
0,11,11,7,92
0,11,11,9,93
0,11,11,13,94
0,11,11,14,95
0,11,11,14,96
0,11,11,15,97
0,11,11,17,98
0,12,12,0,99
0,12,12,4,100
0,12,12,13,101
0,12,12,16,102
0,12,12,16,103
0,12,12,17,104
0,12,12,17,105
0,13,13,0,106
0,13,13,0,107
0,13,13,0,108
0,13,13,2,109
0,13,13,7,110
0,13,13,7,111
0,13,13,7,112
0,13,13,9,113
0,13,13,10,114
0,13,13,12,115
0,13,13,12,116
0,13,13,14,117
0,13,13,14,118
0,13,13,14,119
0,13,13,14,120
0,14,14,1,121
0,14,14,3,122
0,14,14,3,123
0,14,14,7,124
0,14,14,9,125
0,14,14,10,126
0,14,14,17,127
0,15,15,4,128
0,15,15,5,129
0,15,15,6,130
0,15,15,10,131
0,15,15,10,132
0,15,15,11,133
0,15,15,11,134
0,15,15,12,135
0,15,15,14,136
0,15,15,15,137
0,15,15,17,138
0,16,16,3,139
0,16,16,7,140
0,16,16,8,141
0,16,16,13,142
0,17,17,0,143
0,17,17,0,144
0,17,17,1,145
0,17,17,3,146
0,17,17,7,147
0,17,17,7,148
0,17,17,7,149
0,17,17,8,150
0,17,17,11,151
0,17,17,11,152
0,17,17,11,153
0,17,17,13,154
0,17,17,13,155
0,17,17,15,156
0,17,17,16,157
0,17,17,16,158
0,17,17,17,159
0,18,18,3,160
0,18,18,14,161
0,19,19,1,162
0,19,19,1,163
0,19,19,8,164
0,19,19,13,165
0,19,19,13,166
0,19,19,14,167
0,19,19,14,168
0,19,19,15,169
0,19,19,16,170
0,19,19,17,171
0,19,19,17,172
0,20,20,1,173
0,20,20,7,174
0,20,20,10,175
0,20,20,10,176
0,20,20,15,177
0,20,20,15,178
0,21,21,1,179
0,21,21,13,180
0,22,22,0,181
0,22,22,2,182
0,22,22,9,183
0,22,22,9,184
0,22,22,9,185
0,22,22,10,186
0,23,23,11,187
0,23,23,12,188
0,23,23,13,189
0,23,23,15,190
0,23,23,17,191
0,24,24,0,192
0,24,24,1,193
0,24,24,3,194
0,24,24,9,195
0,24,24,11,196
0,24,24,14,197
0,24,24,16,198
0,24,24,17,199
0,24,24,17,200
0,24,24,17,201
0,25,25,1,202
0,25,25,5,203
0,25,25,6,204
0,25,25,8,205
0,25,25,9,206
0,25,25,10,207
0,25,25,14,208
0,25,25,16,209
0,26,26,3,210
0,26,26,7,211
0,26,26,11,212
0,26,26,12,213
0,26,26,14,214
0,26,26,17,215
0,27,27,1,216
0,27,27,14,217
0,27,27,14,218
0,27,27,14,219
0,27,27,15,220
0,27,27,16,221
0,28,28,1,222
0,28,28,2,223
0,28,28,5,224
0,28,28,7,225
0,28,28,7,226
0,28,28,7,227
0,28,28,7,228
0,28,28,9,229
0,28,28,9,230
0,28,28,10,231
0,28,28,11,232
0,28,28,11,233
0,28,28,17,234
0,28,28,17,235
0,28,28,17,236
0,28,28,17,237
0,28,28,17,238
0,29,29,11,239
0,29,29,11,240
0,29,29,13,241
0,30,30,1,242
0,30,30,7,243
0,30,30,9,244
0,30,30,12,245
0,30,30,14,246
0,30,30,15,247
0,30,30,15,248
0,30,30,17,249
0,30,30,17,250
0,30,30,17,251
0,31,31,0,252
0,31,31,0,253
0,31,31,1,254
0,31,31,7,255
0,31,31,8,256
0,31,31,17,257
0,31,31,17,258
0,32,32,0,259
0,32,32,1,260
0,32,32,4,261
0,32,32,11,262
0,32,32,14,263
0,32,32,14,264
0,33,33,0,265
0,33,33,1,266
0,33,33,1,267
0,33,33,8,268
0,33,33,10,269
0,33,33,11,270
0,33,33,11,271
0,33,33,14,272
0,33,33,14,273
0,33,33,14,274
0,33,33,16,275
0,33,33,16,276
0,33,33,17,277
0,34,34,1,278
0,34,34,2,279
0,34,34,11,280
0,34,34,14,281
0,34,34,15,282
0,34,34,16,283
0,34,34,17,284
0,34,34,17,285
0,35,35,3,286
0,35,35,7,287
0,35,35,9,288
0,35,35,9,289
0,35,35,10,290
0,35,35,11,291
0,35,35,16,292
0,35,35,16,293
0,35,35,17,294
0,35,35,17,295
0,36,36,5,296
0,36,36,5,297
0,36,36,9,298
0,36,36,12,299
0,36,36,17,300
0,37,37,0,301
0,37,37,4,302
0,37,37,5,303
0,37,37,10,304
0,37,37,10,305
0,37,37,10,306
0,37,37,15,307
0,37,37,16,308
0,38,38,0,309
0,38,38,4,310
0,38,38,5,311
0,38,38,11,312
0,38,38,14,313
0,38,38,14,314
0,38,38,15,315
0,39,39,5,316
0,39,39,7,317
0,39,39,9,318
0,39,39,10,319
0,39,39,12,320
0,40,40,6,321
0,40,40,9,322
0,40,40,11,323
0,40,40,12,324
0,40,40,13,325
0,40,40,17,326
0,41,41,0,327
0,41,41,1,328
0,41,41,1,329
0,41,41,5,330
0,41,41,5,331
0,41,41,12,332
0,41,41,14,333
0,41,41,15,334
0,41,41,15,335
