scenario,episode_id,t_slot,t_time,mec_id,task_id
heavy,0,0,0.0,0,0
heavy,0,0,0.0,0,1
heavy,0,0,0.0,0,2
heavy,0,0,0.0,0,3
heavy,0,0,0.0,0,4
heavy,0,0,0.0,0,5
heavy,0,0,0.0,1,6
heavy,0,0,0.0,1,7
heavy,0,0,0.0,1,8
heavy,0,0,0.0,1,9
heavy,0,0,0.0,1,10
heavy,0,0,0.0,1,11
heavy,0,0,0.0,2,12
heavy,0,0,0.0,2,13
heavy,0,0,0.0,2,14
heavy,0,0,0.0,2,15
heavy,0,0,0.0,3,16
heavy,0,0,0.0,3,17
heavy,0,0,0.0,3,18
heavy,0,0,0.0,3,19
heavy,0,0,0.0,3,20
heavy,0,0,0.0,3,21
heavy,0,0,0.0,4,22
heavy,0,0,0.0,4,23
heavy,0,0,0.0,5,24
heavy,0,0,0.0,5,25
heavy,0,0,0.0,6,26
heavy,0,0,0.0,6,27
heavy,0,0,0.0,6,28
heavy,0,0,0.0,6,29
heavy,0,0,0.0,7,30
heavy,0,0,0.0,8,31
heavy,0,0,0.0,8,32
heavy,0,0,0.0,9,33
heavy,0,0,0.0,9,34
heavy,0,0,0.0,9,35
heavy,0,0,0.0,10,36
heavy,0,0,0.0,11,37
heavy,0,0,0.0,11,38
heavy,0,0,0.0,11,39
heavy,0,0,0.0,11,40
heavy,0,0,0.0,12,41
heavy,0,0,0.0,12,42
heavy,0,0,0.0,12,43
heavy,0,0,0.0,12,44
heavy,0,0,0.0,13,45
heavy,0,0,0.0,13,46
heavy,0,0,0.0,13,47
heavy,0,0,0.0,14,48
heavy,0,0,0.0,14,49
heavy,0,0,0.0,14,50
heavy,0,0,0.0,14,51
heavy,0,0,0.0,15,52
heavy,0,0,0.0,16,53
heavy,0,0,0.0,16,54
heavy,0,0,0.0,16,55
heavy,0,0,0.0,16,56
heavy,0,0,0.0,16,57
heavy,0,0,0.0,16,58
heavy,0,0,0.0,17,59
heavy,0,0,0.0,17,60
heavy,0,0,0.0,17,61
heavy,0,0,0.0,17,62
heavy,0,0,0.0,17,63
heavy,0,0,0.0,17,64
heavy,0,0,0.0,18,65
heavy,0,0,0.0,18,66
heavy,0,0,0.0,18,67
heavy,0,0,0.0,18,68
heavy,0,0,0.0,19,69
heavy,0,1,1.0,0,70
heavy,0,1,1.0,0,71
heavy,0,1,1.0,1,72
heavy,0,1,1.0,1,73
heavy,0,1,1.0,1,74
heavy,0,1,1.0,1,75
heavy,0,1,1.0,1,76
heavy,0,1,1.0,2,77
heavy,0,1,1.0,2,78
heavy,0,1,1.0,3,79
heavy,0,1,1.0,3,80
heavy,0,1,1.0,4,81
heavy,0,1,1.0,4,82
heavy,0,1,1.0,4,83
heavy,0,1,1.0,5,84
heavy,0,1,1.0,6,85
heavy,0,1,1.0,6,86
heavy,0,1,1.0,6,87
heavy,0,1,1.0,7,88
heavy,0,1,1.0,7,89
heavy,0,1,1.0,7,90
heavy,0,1,1.0,7,91
heavy,0,1,1.0,7,92
heavy,0,1,1.0,8,93
heavy,0,1,1.0,8,94
heavy,0,1,1.0,8,95
heavy,0,1,1.0,8,96
heavy,0,1,1.0,9,97
heavy,0,1,1.0,9,98
heavy,0,1,1.0,9,99
heavy,0,1,1.0,9,100
heavy,0,1,1.0,9,101
heavy,0,1,1.0,10,102
heavy,0,1,1.0,10,103
heavy,0,1,1.0,10,104
heavy,0,1,1.0,10,105
heavy,0,1,1.0,10,106
heavy,0,1,1.0,10,107
heavy,0,1,1.0,11,108
heavy,0,1,1.0,11,109
heavy,0,1,1.0,11,110
heavy,0,1,1.0,12,111
heavy,0,1,1.0,12,112
heavy,0,1,1.0,12,113
heavy,0,1,1.0,13,114
heavy,0,1,1.0,13,115
heavy,0,1,1.0,14,116
heavy,0,1,1.0,14,117
heavy,0,1,1.0,15,118
heavy,0,1,1.0,15,119
heavy,0,1,1.0,15,120
heavy,0,1,1.0,16,121
heavy,0,1,1.0,16,122
heavy,0,1,1.0,16,123
heavy,0,1,1.0,16,124
heavy,0,1,1.0,17,125
heavy,0,1,1.0,17,126
heavy,0,1,1.0,17,127
heavy,0,1,1.0,17,128
heavy,0,1,1.0,17,129
heavy,0,1,1.0,18,130
heavy,0,1,1.0,18,131
heavy,0,1,1.0,18,132
heavy,0,1,1.0,19,133
heavy,0,1,1.0,19,134
heavy,0,1,1.0,19,135
heavy,0,1,1.0,19,136
heavy,0,2,2.0,0,137
heavy,0,2,2.0,0,138
heavy,0,2,2.0,0,139
heavy,0,2,2.0,1,140
heavy,0,2,2.0,1,141
heavy,0,2,2.0,2,142
heavy,0,2,2.0,2,143
heavy,0,2,2.0,2,144
heavy,0,2,2.0,3,145
heavy,0,2,2.0,3,146
heavy,0,2,2.0,3,147
heavy,0,2,2.0,3,148
heavy,0,2,2.0,4,149
heavy,0,2,2.0,5,150
heavy,0,2,2.0,5,151
heavy,0,2,2.0,5,152
heavy,0,2,2.0,6,153
heavy,0,2,2.0,6,154
heavy,0,2,2.0,6,155
heavy,0,2,2.0,7,156
heavy,0,2,2.0,7,157
heavy,0,2,2.0,7,158
heavy,0,2,2.0,8,159
heavy,0,2,2.0,8,160
heavy,0,2,2.0,8,161
heavy,0,2,2.0,8,162
heavy,0,2,2.0,9,163
heavy,0,2,2.0,9,164
heavy,0,2,2.0,9,165
heavy,0,2,2.0,9,166
heavy,0,2,2.0,9,167
heavy,0,2,2.0,10,168
heavy,0,2,2.0,10,169
heavy,0,2,2.0,11,170
heavy,0,2,2.0,11,171
heavy,0,2,2.0,11,172
heavy,0,2,2.0,12,173
heavy,0,2,2.0,12,174
heavy,0,2,2.0,13,175
heavy,0,2,2.0,13,176
heavy,0,2,2.0,14,177
heavy,0,2,2.0,15,178
heavy,0,2,2.0,15,179
heavy,0,2,2.0,16,180
heavy,0,2,2.0,16,181
heavy,0,2,2.0,16,182
heavy,0,2,2.0,16,183
heavy,0,2,2.0,17,184
heavy,0,2,2.0,17,185
heavy,0,2,2.0,17,186
heavy,0,2,2.0,17,187
heavy,0,2,2.0,17,188
heavy,0,2,2.0,17,189
heavy,0,2,2.0,17,190
heavy,0,2,2.0,17,191
heavy,0,2,2.0,17,192
heavy,0,2,2.0,18,193
heavy,0,2,2.0,18,194
heavy,0,2,2.0,19,195
heavy,0,2,2.0,19,196
heavy,0,2,2.0,19,197
heavy,0,3,3.0,0,198
heavy,0,3,3.0,0,199
heavy,0,3,3.0,0,200
heavy,0,3,3.0,0,201
heavy,0,3,3.0,0,202
heavy,0,3,3.0,0,203
heavy,0,3,3.0,0,204
heavy,0,3,3.0,0,205
heavy,0,3,3.0,0,206
heavy,0,3,3.0,0,207
heavy,0,3,3.0,1,208
heavy,0,3,3.0,1,209
heavy,0,3,3.0,1,210
heavy,0,3,3.0,1,211
heavy,0,3,3.0,1,212
heavy,0,3,3.0,1,213
heavy,0,3,3.0,1,214
heavy,0,3,3.0,1,215
heavy,0,3,3.0,1,216
heavy,0,3,3.0,2,217
heavy,0,3,3.0,2,218
heavy,0,3,3.0,2,219
heavy,0,3,3.0,3,220
heavy,0,3,3.0,3,221
heavy,0,3,3.0,4,222
heavy,0,3,3.0,5,223
heavy,0,3,3.0,5,224
heavy,0,3,3.0,6,225
heavy,0,3,3.0,6,226
heavy,0,3,3.0,7,227
heavy,0,3,3.0,7,228
heavy,0,3,3.0,7,229
heavy,0,3,3.0,8,230
heavy,0,3,3.0,8,231
heavy,0,3,3.0,10,232
heavy,0,3,3.0,10,233
heavy,0,3,3.0,12,234
heavy,0,3,3.0,12,235
heavy,0,3,3.0,12,236
heavy,0,3,3.0,12,237
heavy,0,3,3.0,12,238
heavy,0,3,3.0,13,239
heavy,0,3,3.0,13,240
heavy,0,3,3.0,13,241
heavy,0,3,3.0,14,242
heavy,0,3,3.0,14,243
heavy,0,3,3.0,14,244
heavy,0,3,3.0,15,245
heavy,0,3,3.0,15,246
heavy,0,3,3.0,15,247
heavy,0,3,3.0,15,248
heavy,0,3,3.0,15,249
heavy,0,3,3.0,16,250
heavy,0,3,3.0,16,251
heavy,0,3,3.0,16,252
heavy,0,3,3.0,16,253
heavy,0,3,3.0,16,254
heavy,0,3,3.0,17,255
heavy,0,3,3.0,17,256
heavy,0,3,3.0,17,257
heavy,0,3,3.0,17,258
heavy,0,3,3.0,17,259
heavy,0,3,3.0,17,260
heavy,0,3,3.0,17,261
heavy,0,3,3.0,18,262
heavy,0,3,3.0,19,263
heavy,0,3,3.0,19,264
heavy,0,4,4.0,0,265
heavy,0,4,4.0,0,266
heavy,0,4,4.0,0,267
heavy,0,4,4.0,0,268
heavy,0,4,4.0,0,269
heavy,0,4,4.0,0,270
heavy,0,4,4.0,0,271
heavy,0,4,4.0,0,272
heavy,0,4,4.0,0,273
heavy,0,4,4.0,1,274
heavy,0,4,4.0,1,275
heavy,0,4,4.0,1,276
heavy,0,4,4.0,1,277
heavy,0,4,4.0,1,278
heavy,0,4,4.0,2,279
heavy,0,4,4.0,2,280
heavy,0,4,4.0,2,281
heavy,0,4,4.0,2,282
heavy,0,4,4.0,2,283
heavy,0,4,4.0,3,284
heavy,0,4,4.0,3,285
heavy,0,4,4.0,4,286
heavy,0,4,4.0,4,287
heavy,0,4,4.0,4,288
heavy,0,4,4.0,4,289
heavy,0,4,4.0,5,290
heavy,0,4,4.0,6,291
heavy,0,4,4.0,6,292
heavy,0,4,4.0,6,293
heavy,0,4,4.0,7,294
heavy,0,4,4.0,7,295
heavy,0,4,4.0,7,296
heavy,0,4,4.0,7,297
heavy,0,4,4.0,7,298
heavy,0,4,4.0,7,299
heavy,0,4,4.0,8,300
heavy,0,4,4.0,8,301
heavy,0,4,4.0,8,302
heavy,0,4,4.0,9,303
heavy,0,4,4.0,9,304
heavy,0,4,4.0,10,305
heavy,0,4,4.0,10,306
heavy,0,4,4.0,10,307
heavy,0,4,4.0,10,308
heavy,0,4,4.0,11,309
heavy,0,4,4.0,11,310
heavy,0,4,4.0,13,311
heavy,0,4,4.0,13,312
heavy,0,4,4.0,13,313
heavy,0,4,4.0,13,314
heavy,0,4,4.0,14,315
heavy,0,4,4.0,14,316
heavy,0,4,4.0,14,317
heavy,0,4,4.0,15,318
heavy,0,4,4.0,15,319
heavy,0,4,4.0,16,320
heavy,0,4,4.0,16,321
heavy,0,4,4.0,16,322
heavy,0,4,4.0,17,323
heavy,0,4,4.0,17,324
heavy,0,4,4.0,17,325
heavy,0,4,4.0,17,326
heavy,0,4,4.0,17,327
heavy,0,4,4.0,17,328
heavy,0,4,4.0,18,329
heavy,0,4,4.0,18,330
heavy,0,4,4.0,18,331
heavy,0,4,4.0,19,332
heavy,0,4,4.0,19,333
heavy,0,4,4.0,19,334
heavy,0,5,5.0,0,335
heavy,0,5,5.0,0,336
heavy,0,5,5.0,0,337
heavy,0,5,5.0,0,338
heavy,0,5,5.0,0,339
heavy,0,5,5.0,1,340
heavy,0,5,5.0,1,341
heavy,0,5,5.0,1,342
heavy,0,5,5.0,1,343
heavy,0,5,5.0,2,344
heavy,0,5,5.0,2,345
heavy,0,5,5.0,2,346
heavy,0,5,5.0,2,347
heavy,0,5,5.0,2,348
heavy,0,5,5.0,3,349
heavy,0,5,5.0,3,350
heavy,0,5,5.0,3,351
heavy,0,5,5.0,3,352
heavy,0,5,5.0,4,353
heavy,0,5,5.0,4,354
heavy,0,5,5.0,4,355
heavy,0,5,5.0,4,356
heavy,0,5,5.0,4,357
heavy,0,5,5.0,4,358
heavy,0,5,5.0,4,359
heavy,0,5,5.0,4,360
heavy,0,5,5.0,4,361
heavy,0,5,5.0,5,362
heavy,0,5,5.0,6,363
heavy,0,5,5.0,6,364
heavy,0,5,5.0,6,365
heavy,0,5,5.0,6,366
heavy,0,5,5.0,7,367
heavy,0,5,5.0,7,368
heavy,0,5,5.0,8,369
heavy,0,5,5.0,8,370
heavy,0,5,5.0,8,371
heavy,0,5,5.0,8,372
heavy,0,5,5.0,8,373
heavy,0,5,5.0,9,374
heavy,0,5,5.0,9,375
heavy,0,5,5.0,9,376
