agent_id,f_local,m_local,lam_sec
0,1653548837.716813,4466.291431231124,0.16889436151313825
1,888100519.5225142,4287.104109296038,0.19091582806084173
2,1473991274.9951134,3545.092003877675,0.12354380419346828
3,1922768404.1519635,5287.230729859729,0.18433320781072066
4,2286219215.179924,4354.42556469466,0.12070073392868665
5,1792734279.1942255,3797.8804981029834,0.11089170426851201
6,1609750706.3547578,4338.5124592866705,0.08946582191569641
7,1573713192.6880255,6477.698088002212,0.07031876709396218
8,842591062.9746536,3851.02909489287,0.09964804106660796
9,1069242942.3064936,7702.101800460287,0.14932921518113948
10,2352475657.3823566,7401.79093371513,0.14324809201287586
11,2329272390.378619,7616.06144317627,0.1162614052816628
12,1958788564.8809683,6007.329555905075,0.13103552208583397
13,1218626232.0375066,5523.844216475703,0.08275269164282666
14,1329012390.6600688,6304.8377270240135,0.12987300896406884
15,1824374783.6865869,7768.886554175879,0.0985520171576563
16,2112703704.662344,7003.886577502965,0.09753634517767426
17,1503519206.0764294,7690.139559734411,0.11672631200694653
