agent_id,f_local,m_local,lam_sec
0,921468340.6852636,5152146293.965804,0.021213984617305726
1,1988512009.842108,4208470915.3503513,0.03025414641777692
2,1361338717.739572,4466022492.234455,0.028700844258632396
3,2155302657.1767225,7570283243.827353,0.038873155468207125
4,872740304.1028006,6918455560.082204,0.037506295106507534
5,2350478061.5494094,7997219316.647434,0.013920435908116256
6,1080474240.2412841,3611664818.397378,0.031591120553524206
7,1483436882.4705813,5690301813.825439,0.026183605733595544
8,1782616058.5334897,5312418572.922468,0.04026823889360173
9,2164537873.433994,6264107461.7827015,0.048390587494884285
10,2381891964.474189,5233485874.925933,0.03995491435422355
11,1698112025.7091348,5619134660.823345,0.03759909579548004
12,1170522747.3291113,5302008005.7326565,0.03485216813836231
13,1004000025.0187654,6356746539.742655,0.027639783546371963
14,1206140586.857428,4332462099.525787,0.038611472040099785
15,2062918354.1780741,5181575791.81892,0.04266001712694038
16,1493699648.2966163,6776846182.450634,0.02637714227037334
17,1302068106.5407624,6167829827.661497,0.02592846077654251
