scenario,episode_id,t_slot,t_time,agent_id,task_id
light,0,0,0.0,1,0
light,0,0,0.0,17,1
light,0,2,2.0,15,2
light,0,7,7.0,8,3
light,0,8,8.0,11,4
light,0,8,8.0,12,5
light,0,14,14.0,2,6
light,0,15,15.0,9,7
light,0,15,15.0,10,8
light,0,15,15.0,15,9
light,0,16,16.0,0,10
light,0,16,16.0,8,11
light,0,17,17.0,10,12
light,0,18,18.0,9,13
light,0,18,18.0,15,14
light,0,22,22.0,6,15
light,0,22,22.0,9,16
light,0,22,22.0,12,17
light,0,23,23.0,10,18
light,0,24,24.0,4,19
light,0,24,24.0,6,20
light,0,24,24.0,10,21
light,0,26,26.0,17,22
light,0,28,28.0,4,23
light,0,29,29.0,10,24
light,0,30,30.0,9,25
light,0,31,31.0,8,26
light,0,31,31.0,13,27
light,0,32,32.0,6,28
light,0,33,33.0,6,29
light,0,33,33.0,7,30
light,0,34,34.0,0,31
light,0,35,35.0,9,32
light,0,38,38.0,9,33
light,0,41,41.0,5,34
light,0,44,44.0,3,35
light,0,46,46.0,12,36
light,0,48,48.0,1,37
light,0,48,48.0,17,38
light,0,53,53.0,6,39
light,0,54,54.0,0,40
light,0,55,55.0,12,41
light,0,56,56.0,3,42
light,0,56,56.0,15,43
light,0,57,57.0,0,44
light,0,57,57.0,13,45
light,0,58,58.0,11,46
light,0,59,59.0,9,47
light,0,59,59.0,16,48
light,0,67,67.0,14,49
light,0,68,68.0,2,50
light,0,68,68.0,6,51
light,0,69,69.0,10,52
light,0,71,71.0,3,53
light,0,72,72.0,17,54
light,0,77,77.0,9,55
light,0,78,78.0,11,56
light,0,83,83.0,7,57
light,0,85,85.0,1,58
light,0,86,86.0,12,59
light,0,88,88.0,5,60
light,0,89,89.0,2,61
light,0,90,90.0,12,62
light,0,91,91.0,6,63
light,0,93,93.0,0,64
light,0,93,93.0,8,65
light,0,93,93.0,10,66
light,0,94,94.0,7,67
light,0,97,97.0,17,68
light,0,100,100.0,7,69
light,0,102,102.0,1,70
light,0,102,102.0,11,71
light,0,104,104.0,15,72
light,0,111,111.0,1,73
light,0,111,111.0,7,74
light,0,111,111.0,15,75
light,0,115,115.0,8,76
light,0,115,115.0,10,77
light,0,117,117.0,17,78
light,0,120,120.0,6,79
light,0,120,120.0,8,80
light,0,121,121.0,16,81
light,0,125,125.0,1,82
light,0,125,125.0,1,83
light,0,125,125.0,2,84
light,0,126,126.0,14,85
light,0,127,127.0,3,86
light,0,127,127.0,6,87
light,0,128,128.0,8,88
light,0,130,130.0,0,89
light,0,130,130.0,14,90
light,0,133,133.0,5,91
light,0,137,137.0,14,92
light,0,141,141.0,3,93
light,0,145,145.0,10,94
light,0,148,148.0,16,95
light,0,150,150.0,11,96
light,0,154,154.0,2,97
light,0,154,154.0,15,98
light,0,155,155.0,0,99
light,0,155,155.0,7,100
light,0,157,157.0,15,101
light,0,160,160.0,9,102
light,0,167,167.0,12,103
light,0,170,170.0,0,104
light,0,171,171.0,8,105
light,0,174,174.0,9,106
light,0,175,175.0,2,107
light,0,175,175.0,4,108
light,0,177,177.0,14,109
light,0,181,181.0,3,110
light,0,181,181.0,4,111
light,0,182,182.0,3,112
light,0,185,185.0,3,113
light,0,188,188.0,14,114
light,0,189,189.0,8,115
light,0,191,191.0,6,116
light,0,191,191.0,17,117
light,0,193,193.0,6,118
